subject,block,trial,trialblock,task,reward,regret,sf_path,mb_paths,mf_paths,mf_sim,mb_sim,p0_sim,p1_sim,p01_sim,sf_comp
0,1,44,94,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,45,95,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,45,95,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,46,96,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,46,96,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,47,97,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,47,97,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,48,98,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,48,98,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,49,99,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,49,99,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,2,0,100,0,11,0,2,[0 0 1 1 1 1 1 0],[0 0 0 0 0 0 1 0],2,2,3,0,1.5,False
0,2,0,100,0,11,-14,2,[0 0 1 1 1 1 1 0],[0 0 0 0 0 0 1 0],2,2,3,0,1.5,False
0,2,1,101,1,-5,16,0,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 0],3,3,1,0,0.5,False
0,2,1,101,1,-5,2,0,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 0],3,3,1,0,0.5,False
0,2,2,102,0,11,0,4,[0 0 1 1 1 1 1 0],[0 0 0 0 0 0 1 0],1,1,2,1,1.5,True
0,2,2,102,0,11,-14,4,[0 0 1 1 1 1 1 0],[0 0 0 0 0 0 1 0],1,1,2,1,1.5,True
0,2,3,103,1,-6,17,4,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 0],1,1,2,1,1.5,True
0,2,3,103,1,-6,3,4,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 0],1,1,2,1,1.5,True
0,2,4,104,0,10,1,7,[0 0 1 1 1 1 1 0],[0 0 0 0 0 0 1 0],0,0,0,2,1.0,False
0,2,4,104,0,10,-13,7,[0 0 1 1 1 1 1 0],[0 0 0 0 0 0 1 0],0,0,0,2,1.0,False
0,2,5,105,1,-6,17,4,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 0],1,1,2,1,1.5,True
